Seduploader : Target Confirmation .		malware others others others others
Release_Time : unknown .		others others others others
Report_URL : https://www.welivesecurity.com/wp-content/uploads/2016/10/eset-sednit-part1.pdf .		others others others others others others
Seduploader serves as reconnaissance malware .		malware others others others others others
It is made up of two distinct components : a dropper and the per-sistent payload installed by this dropper .		others others others others others others others others others others tool others others tool tool others others others others others
Seduploader ’ s payload is a downloader used by Sednit ' s operators as reconnaissance malware .		malware others others tool others others others others others threatActor_name others others others others others others others
If the victim is considered interesting , Seduploader is instructed to download a spying backdoor , like Sedreco or Xagent .		others others others others others others others malware others others others others others others malware others others malware others malware others
March 2015 to August 2016 ( the time of this writing ) .		time time time time time others others others others others others others others
Probably still in use .		others others others others others
Downloaded by Sedkit .		others others malware others
Dropped by Microsoft Office exploits attached to targeted phishing emails .		others others company company others others others others malware malware others
The Seduploader payload borrows parts of its code from Carberp—an infamous malware family whose partial source code was made public—as documented by F-Secure in September 2015 .		others malware malware others others others others others others others others others others others others others others others others others others others tool others time time others
Seduploader has been compiled for Windows and OS X ( at least ) .		malware others others others others OS_name others OS_name OS_name others others others others others
Older Seduploader dropper samples contain an unusual anti-analysis trick based on large temporary files ( named jhuhugit.temp , jhuhugit.tmp or jkeyskw.temp depending on the version ) .		others malware malware others others others others others others others others others others others others others sample_name others sample_name others sample_name others others others others others others
The Seduploader payload implements three different methods to contact its C&C server .		others malware malware others others others others others others others tool tool tool tool others
The dates posited in the timeline mainly rely on the compilation timestamps of the Seduploader payloads.We believe that the payloads ’ timestamps were not tampered with , because they match our telemetry data , as opposed to the droppers ’ timestamps .		others others others others others others others others others others others others others others malware others others others others tool others others others others others others others others others others others others others others others others others others malware others others others
The dates in the timeline may be later than the actual events though , as we do not have all Seduploader samples—but enough are present to give a good approximation .		others others others others others others others others others others others others others others others others others others others others malware others others others others others others others others others others
We define Seduploader as a two-binary component , comprising a dropper and the payload usually contained in this dropper.While those two have sometimes been used independently of each other , they usually are deployed together and remain the most-used first-stage malware of the Sednit group since the beginning of 2015 .		others others malware others others others others others others others malware others others tool others others others others others others others others others others others others others others others others others others others others others others others others others others others others others threatActor_name others others time time time time others
The payload component of Seduploader has been compiled forWindows and OS X , but our analysis is based solely on the Windows version .		others tool others others malware others others others others others OS_name OS_name others others others others others others others others others OS_name others others
Nevertheless , the OS X version is very similar , and has been described by BAE Systems in June 2015 .		others others others OS_name OS_name others others others others others others others others others others company company others time time others
While pretty straightforward , it has some interesting details that we will describe in this section .		others others others others others others others others others others others others others others others others others
This code allocates a small memory buffer B and sets its tenth byte to the value 42 .		others others others others others others others others others others others others others others others others others others
It then writes and reads one million times into a newly created temporary file1 .		others others others others others others others others others others others others others others others
After that operation , it checks whether the tenth byte of B still contains the value 42 .		others others others others others others others others others others others others others others others others others others
If this is not the case , Seduploader terminates its execution .		others others others others others others others malware others others others others
This code primarily serves to delay execution with I/O intensive operations , in order to exhaust security products ’ analysis limits .		others others others others others others others others tool others others others others others others others others others others others others others
